datetime,eventid,accountname,clientaddr,servicename,processname,objectname,sharedname
11/28/2018 12:04:49 PM,4688,local service,,,c:\windows\system32\taskeng.exe,,
11/28/2018 12:09:34 PM,5140,local service,192.168.2.15,DC$,,,\\*\admin$
11/28/2018 12:07:26 PM,5140,user101,192.168.2.15,DC$,,,\\*\ipc$
11/28/2018 12:07:26 PM,5140,user101,192.168.2.15,DC$,,,
11/28/2018 12:07:26 PM,5140,user101,192.168.2.15,DC$,,,\\*\c$
11/28/2018 12:07:26 PM,5140,user101,192.168.2.15,DC$,,,
11/28/2018 12:07:36 PM,5140,user101,192.168.2.15,DC$,,,\\*\admin$
11/28/2018 12:07:36 PM,5140,user101,192.168.2.15,DC$,,,
11/28/2018 12:07:36 PM,4674,user101,192.168.2.15,,c:\windows\system32\services.exe,,
11/28/2018 12:07:37 PM,4674,user101,192.168.2.15,,c:\windows\system32\services.exe,psexesvc,
11/28/2018 12:07:37 PM,5140,user101,192.168.2.15,DC$,,,\\*\ipc$
11/28/2018 12:07:37 PM,5140,user101,192.168.2.15,DC$,,,
11/28/2018 12:08:28 PM,4688,user101,192.168.2.15,,c:\tools\mimikatz_trunk\x64\mimikatz.exe,,
11/28/2018 12:07:05 PM,5140,asapc$,192.168.2.15,DC$,,,\\*\ipc$
11/28/2018 12:07:05 PM,5140,asapc$,192.168.2.15,DC$,,,
11/28/2018 12:07:38 PM,5140,asapc$,192.168.2.15,,,,\\*\ipc$
11/28/2018 12:07:38 PM,5140,asapc$,192.168.2.15,,,,
11/28/2018 12:07:38 PM,5140,anonymous logon,192.168.2.15,DC$,,,\\*\ipc$
11/28/2018 12:07:38 PM,5140,anonymous logon,192.168.2.15,DC$,,,
11/28/2018 12:07:38 PM,5140,anonymous logon,192.168.2.15,DC$,,,\\*\ipc$
11/28/2018 12:07:38 PM,5140,anonymous logon,192.168.2.15,DC$,,,
